From,To
alumni/opportunities,http://gsb.stanford.edu/alumni/volunteering
alumni/opportunities/family-business-role-play,http://gsb.stanford.edu/alumni/volunteering/academics-student-life
alumni/opportunities/volunteering.html,http://gsb.stanford.edu/alumni/volunteering
alumni/phd,http://alumni-gsb.stanford.edu/get/page/groups/overview/?group_id=0038991574
alumni/restricted/business-of-change/media,http://gsb.stanford.edu/alumni/featured-events/business-change
alumni/restricted/career/2hourworkshop.html,http://gsb.stanford.edu/alumni/career-resources/video-library/2-hour-job-search
alumni/restricted/career/advising,http://gsb.stanford.edu/alumni/career-resources/job-search/career-coaching
alumni/restricted/career/advising/coaches.html,http://gsb.stanford.edu/alumni/career-resources/job-search/career-coaching/coaches
alumni/restricted/career/advising/coachprep.html,http://gsb.stanford.edu/alumni/career-resources/job-search/career-coaching
alumni/restricted/career/advising/expect.html,http://gsb.stanford.edu/alumni/career-resources/job-search/career-coaching
alumni/restricted/career/advising/greig-bio.html,http://gsb.stanford.edu/alumni/career-resources/job-search/career-coaching/coaches/cindy-w-greig
alumni/restricted/career/irelaunch.html,http://gsb.stanford.edu/alumni/career-resources/video-library/return-work
alumni/restricted/career/linkedin,http://gsb.stanford.edu/alumni/career-resources/job-search/linkedin
alumni/restricted/career/links,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/americas.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/asia.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/companylists.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/country.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/entrepreneur.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/europe.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/industry_a_g.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/industry_h_z.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/industry.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/international.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/management.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/news.html,http://gsb.stanford.edu/alumni/career-resources/job-search
alumni/restricted/career/links/recruiters.html,http://gsb.stanford.edu/alumni/career-resources/job-search/executive-recruiters
alumni/restricted/career/links/salary.html,http://gsb.stanford.edu/alumni/career-resources/job-search/negotiating
alumni/restricted/career/optimizing-linkedin.html,http://gsb.stanford.edu/alumni/career-resources/job-search/linkedin
alumni/restricted/career/resources.html,http://gsb.stanford.edu/alumni/career-resources
alumni/restricted/career/resources/careerhandbook/zucker1-competencies.html,http://gsb.stanford.edu/alumni/career-resources/transitions
